title,category
국민의힘   비대위원장 원대  투톱 가닥 원내서 위원장 선출할듯,Politics
이재명 한동훈 배신자 범죄자 텍스트마이닝으로 본    탄핵  뉴스 댓글 여론은,Politics
강선우  나경원 정치 참 후지다 표결 불참  지지자 탓   궤변도 성의껏 ,Politics
한동훈에 물병 던진 친윤 이준석  나 쫓아낼 땐 그래도 ,Politics
   계엄  때문에 여당 쑥대밭 됐는데  돌고 돌아     소방수  ,Politics
 국회   지지자로 포위 당사로 갈 수밖에  나경원 발언 후폭풍,Politics
친윤 이미지 부담 컸나 국힘 비대위  투톱  가닥,Politics
단톡방 의총 녹취 공개 김상욱  색출 발언 자체가 부끄러운 일 ,Politics
  잇달아 재선  선  선 회의  비대위원장 인선  가닥  잡히나,Politics
한동훈에  물병  던지고  도    폭언  국힘 녹취록 이준석 반응,Politics
여 의원들   비대위원장 원내대표  투톱 체제로 의견 모아 종합 ,Politics
 계엄 해제 표결 왜 불참했나   이쯤 되면 막 나가자는 것  문체위 파행,Politics
국힘 박상수  나경원 뭐가 무서웠나   시위대 적대적이지 않았다 ,Politics
국힘 재선  선  선  원톱보단 투톱  권성동 겸직      종합 ,Politics
민주당  한덕수의  시간 끌기  못 기다린다    조기 탄핵 검토 ,Politics
 시사정각   햄버거 회동  또 있었다   계엄 논의 진실 밝혀질까 ,Politics
민주  한덕수  선제적 탄핵 가능 당장 상설특검 추천하라 ,Politics
   계엄날 행적 해명하라  요구 신동욱  내 말이 틀리면 의원직 사퇴 ,Politics
드론 공격에 북한군 눈밭서 데굴데굴 우크라  사살 영상 또 공개,Politics
최북단 지자체에도 병력 투입 왜       확인해 보니,Politics
탱크부대장이 정보사 사무실에   출동 준비는 없었다 ,Politics
  의원들  투톱 체제 적절  비대위장에 권영세 나경원 등 거론,Politics
차기 대통령 선호도 우원식 첫 등장  이재명 강세 속 한동훈 추락 폴폴뉴스 ,Politics
 취재후       이재명   한국의 트럼프  될 수 있을까 ,Politics
금태섭  이상민도 부정선거 얘기  윤 대통령 주변 음모론자들 내란  예견된 것 ,Politics
 더러운 정치   국민의힘 같아   의기투합   년 만에 결별 ,Politics
 햄버거 회동  한번이 아니었다 내란 당일도,Politics
차기 지도자 이재명    로 독주  한동훈   로  뚝   갤럽 ,Politics
민주당 국민의힘 지지도  더블스코어  이재명  한동훈  희비,Politics
 의 형사 처벌 가를 최대 쟁점   내란 인가  고유권한 인가 ,Politics
 과 겹쳐 보이는 권성동 민심과 멀어지면   의 재기 는 빨라진다,Politics
  탄핵 내홍 여진 탄핵 찬성의원  왕따 이단아 취급  주장,Politics
국민의힘  비대위원장 인선 난항 여전한 내홍,Politics
공조본   햄버거집 계엄회동  문상호 사령관 영장 오늘 심사 종합 ,Politics
 영상  신동욱 콕 짚더니  그날의 행적  해명하라  강유정 의혹 제기에  발끈  해명하며  내 말 틀리면 의원직 사퇴 ,Politics
 한덕수 대행  입법권 무시    탄핵 뒤 첫 고위당정,Politics
      탄핵박제 권성동   대통령 헌법 위반  중학교만 나와도 알아 ,Politics
 차기 대통령 이재명        독주 속 한동훈 홍준표 추락  대권 판도 요동 ,Politics
국회 대반격에 당혹한    뭐 투입 병력    명  거봐라 ,Politics
이언주 직격탄  국격 추락 누가 책임지나    검찰총장 만들지 말았어야 ,Politics
 년 전  보다 높다    역대 최고 찍은   강  이재명      한동훈 홍준표는   ,Politics
최재성  한덕수  내란 김건희 특검 수용해야     김성태  민주당  국조 요구해라 ,Politics
민주당  한동훈 암살  보고서 수정 박선원  가능성 배제하지 않아 ,Politics
 대통령 권한대행  탄핵가결 정족수 논란    석       석,Politics
민주     국힘      두배 차     차기 대통령감  이재명 압도적,Politics
윤희숙   한동훈 사살설  김어준에 사과  박선원  비굴의 끝판 ,Politics
헌재  윤 대통령 탄핵심판 서류  송달 간주 할까   일 발표,Politics
이준석  쓰레기차 가고 분뇨차 오는 상황 걱정 ,Politics
국힘  선 재선  원톱보다 투톱이 낫다   권성동 겸직  동력 상실,Politics
 뉴스포커스  윤 대통령 측  내란죄 아냐  공조본   차 출석요구,Politics
 탄핵 찬성  김상욱  보수 병들었다  은 극우주의자 ,Politics
차기 대통령감 이재명      위 한동훈 홍준표     한국갤럽 ,Politics
